Russian,English
я,I
не,Not
что,What
в,V
и,And
это,This
на,on
с,With
он,He
мы,We
как,How
вы,You
да,Yes
мне,to me
у,u
нет,No
меня,me
так,So
но,But
а,A
его,his
все,All
она,she
тебя,you
о,O
если,If
за,behind
бы,would
тебе,you
они,They
чтобы,to
же,the same
есть,There is
из,from
к,To
для,For
ну,Well
когда,When
хорошо,Fine
здесь,Here
по,By
был,was
знаю,I know
то,That
только,only
всё,All
было,was
вас,you
может,Maybe
нас,us
вот,Here
от,from
быть,be
кто,Who
почему,Why
вам,to you
их,their
очень,Very
могу,Can
уже,already
спасибо,Thank you
или,or
нам,us
еще,more
там,there
нужно,need to
сейчас,Now
где,Where
чем,how
хочу,Want
ничего,Nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,You know
п,P
до,before
этом,this
потому,That's why
теперь,Now
думаю,Think
больше,more
её,her
со,CO
раз,once
ему,to him
надо,necessary
время,time
этот,this
ещё,more
пока,Bye
даже,even
привет,Hello
